requirement_id,source_clause,current_status,owning_implementation_path,test_id,candidate_sha,evidence_file_or_hash,reviewer,blocker
CORE-01,"Client Essential C; Owner optional-MFA/no-step-up decision 2026-09-06",PASS_PRODUCTION,"apps/portal/src/lib/server/auth.ts; apps/portal/src/routes/app/api/security/mfa; migrations/0039_mfa_optional_policy.sql",security-final,2058db24ca4d5d6b3f66bde11b6230e271a2d06c,TEST_RESULTS.json,final_candidate_review:ship,
CORE-02,"Client Essential D",PASS_TECHNICAL,"packages/database; apps/portal project routes",integration-final,2058db24ca4d5d6b3f66bde11b6230e271a2d06c,TEST_RESULTS.json,final_candidate_review:ship,
CORE-03,"Client Essential E/I",PASS_TECHNICAL,"packages/billing-engine; commercial policy repositories",integration-final,2058db24ca4d5d6b3f66bde11b6230e271a2d06c,TEST_RESULTS.json,final_candidate_review:ship,"D01-D05 and D07-D09 retain contract/adviser decisions"
CORE-04,"Client Essential E",PASS_PRODUCTION,"time-entry-repository.ts; TimeSection.svelte; migration 0036",integration-final+production-authorized-synthetic-workflow-cleanup+production-live-worker-flow-complete,2058db24ca4d5d6b3f66bde11b6230e271a2d06c,TEST_RESULTS.json,final_candidate_review:ship,
CORE-05,"Client Essential E/K",PASS_PRODUCTION,"workforce-repository.ts; worker statement routes/reporting",production-authenticated-worker-confidentiality+production-live-worker-flow-complete,2058db24ca4d5d6b3f66bde11b6230e271a2d06c,TEST_RESULTS.json,final_candidate_review:ship,"human Worker manual walkthrough pending"
CORE-06,"Client Essential F",PASS_PRODUCTION,"expense-actions.ts; expense classification repository",e2e-32-step+production-live-worker-flow-complete,2058db24ca4d5d6b3f66bde11b6230e271a2d06c,TEST_RESULTS.json,final_candidate_review:ship,
CORE-07,"Client Essential G",PASS_PRODUCTION,"localized-pdf-repository.ts; report routes; compose jobs service",production-two-automatic-cycles,2058db24ca4d5d6b3f66bde11b6230e271a2d06c,PRODUCTION_OPERATIONS_EVIDENCE.json,final_candidate_review:ship,"historical failed variants remain visible"
CORE-08,"Client Essential H",PASS_TECHNICAL,"customer-conformity-repository.ts; migration 0038",e2e-32-step,2058db24ca4d5d6b3f66bde11b6230e271a2d06c,TEST_RESULTS.json,final_candidate_review:ship,"eligible signer policy D10 pending"
CORE-09,"Client Essential I",PASS_TECHNICAL,"finance repositories; finance report export",integration-final,2058db24ca4d5d6b3f66bde11b6230e271a2d06c,TEST_RESULTS.json,final_candidate_review:ship,
CORE-10,"Client Essential J",PASS_TECHNICAL,"billing actions; billing-engine",e2e-32-step,2058db24ca4d5d6b3f66bde11b6230e271a2d06c,TEST_RESULTS.json,final_candidate_review:ship,"tax/cadence/due-date Owner settings pending"
